"","date","phylum","abund","sampledate","day","month","year","doy"
"250","01Aug2015","Gemmatimonadota",0.110519477161056,2015-08-01,1,8,"2015",213
"251","01Aug2015","Halobacterota",0.00255632743279754,2015-08-01,1,8,"2015",213
"252","01Aug2015","Hydrogenedentes",0.0491819558773595,2015-08-01,1,8,"2015",213
"253","01Aug2015","Iainarchaeota",0,2015-08-01,1,8,"2015",213
"254","01Aug2015","Latescibacterota",0.0128480146696279,2015-08-01,1,8,"2015",213
"255","01Aug2015","LCP-89",0,2015-08-01,1,8,"2015",213
"256","01Aug2015","Margulisbacteria",0,2015-08-01,1,8,"2015",213
"257","01Aug2015","Marinimicrobia_",0,2015-08-01,1,8,"2015",213
"258","01Aug2015","Methylomirabilota",0,2015-08-01,1,8,"2015",213
"259","01Aug2015","Micrarchaeota",0,2015-08-01,1,8,"2015",213
"260","01Aug2015","Myxococcota",0.229120538757791,2015-08-01,1,8,"2015",213
"261","01Aug2015","Nanoarchaeota",0.00110505140057612,2015-08-01,1,8,"2015",213
"262","01Aug2015","NB1-j",0.0139530660702041,2015-08-01,1,8,"2015",213
"263","01Aug2015","Nitrospinota",0,2015-08-01,1,8,"2015",213
"264","01Aug2015","Nitrospirota",0.00221010280115224,2015-08-01,1,8,"2015",213
"265","01Aug2015","NKB15",0,2015-08-01,1,8,"2015",213
"266","01Aug2015","Patescibacteria",0.0366801658393768,2015-08-01,1,8,"2015",213
"267","01Aug2015","PAUC34f",0,2015-08-01,1,8,"2015",213
"268","01Aug2015","Planctomycetota",7.23909344487728,2015-08-01,1,8,"2015",213
"269","01Aug2015","Proteobacteria",18.3925656926641,2015-08-01,1,8,"2015",213
"270","01Aug2015","Rotifera",0,2015-08-01,1,8,"2015",213
"271","01Aug2015","SAR324_clade",0.237216460296913,2015-08-01,1,8,"2015",213
"272","01Aug2015","Spirochaetota",0.0847570703161602,2015-08-01,1,8,"2015",213
"273","01Aug2015","Sumerlaeota",0.00110505140057612,2015-08-01,1,8,"2015",213
"274","01Aug2015","Sva0485",0.00110505140057612,2015-08-01,1,8,"2015",213
"275","01Aug2015","Synergistota",0,2015-08-01,1,8,"2015",213
"276","01Aug2015","TA06",0,2015-08-01,1,8,"2015",213
"277","01Aug2015","Thermoplasmatota",0.00110505140057612,2015-08-01,1,8,"2015",213
"278","01Aug2015","Thermotogota",0,2015-08-01,1,8,"2015",213
"279","01Aug2015","unclassified.",1.50379174770192,2015-08-01,1,8,"2015",213
"280","01Aug2015","unclassified.Archaea",0,2015-08-01,1,8,"2015",213
"281","01Aug2015","unclassified.Bacteria",1.22406665124144,2015-08-01,1,8,"2015",213
"282","01Aug2015","unclassified.Eukaryota",0.0770217105121274,2015-08-01,1,8,"2015",213
"283","01Aug2015","Verrucomicrobiota",4.48745334823507,2015-08-01,1,8,"2015",213
"284","01Aug2015","WOR-1",0,2015-08-01,1,8,"2015",213
"285","01Aug2015","WPS-2",0,2015-08-01,1,8,"2015",213
"286","01Aug2015","WS1",0,2015-08-01,1,8,"2015",213
"287","01Aug2015","WS4",0,2015-08-01,1,8,"2015",213
"288","01Aug2015","Zixibacteria",0,2015-08-01,1,8,"2015",213
"289","01Aug2017","Abditibacteriota",0,2017-08-01,1,8,"2017",213
"290","01Aug2017","Acidobacteriota",0.535430870363129,2017-08-01,1,8,"2017",213
"291","01Aug2017","Actinobacteriota",20.4179076982183,2017-08-01,1,8,"2017",213
"292","01Aug2017","Aenigmarchaeota",0,2017-08-01,1,8,"2017",213
"293","01Aug2017","Armatimonadota",0.0709939056039791,2017-08-01,1,8,"2017",213
"294","01Aug2017","Arthropoda",0,2017-08-01,1,8,"2017",213
"295","01Aug2017","Bacteroidota",25.2686189455739,2017-08-01,1,8,"2017",213
"296","01Aug2017","Bdellovibrionota",0.994880622747285,2017-08-01,1,8,"2017",213
"297","01Aug2017","Caldisericota",0,2017-08-01,1,8,"2017",213
"298","01Aug2017","Calditrichota",0,2017-08-01,1,8,"2017",213
"299","01Aug2017","Campilobacterota",0.0596620591398943,2017-08-01,1,8,"2017",213
"300","01Aug2017","Cercozoa",0,2017-08-01,1,8,"2017",213
"301","01Aug2017","Chloroflexi",1.9925030873657,2017-08-01,1,8,"2017",213
"302","01Aug2017","Ciliophora",0,2017-08-01,1,8,"2017",213
"303","01Aug2017","Cloacimonadota",0,2017-08-01,1,8,"2017",213
"304","01Aug2017","Crenarchaeota",0,2017-08-01,1,8,"2017",213
"305","01Aug2017","Cyanobacteria",12.4393203432975,2017-08-01,1,8,"2017",213
"306","01Aug2017","Dadabacteria",0,2017-08-01,1,8,"2017",213
"307","01Aug2017","Deferrisomatota",0,2017-08-01,1,8,"2017",213
"308","01Aug2017","Deinococcota",0,2017-08-01,1,8,"2017",213
"309","01Aug2017","Dependentiae",0.0039687711110481,2017-08-01,1,8,"2017",213
"310","01Aug2017","Desulfobacterota",0.244157418831262,2017-08-01,1,8,"2017",213
"311","01Aug2017","Dinoflagellata",0,2017-08-01,1,8,"2017",213
"312","01Aug2017","Edwardsbacteria",0,2017-08-01,1,8,"2017",213
"313","01Aug2017","Elusimicrobiota",0,2017-08-01,1,8,"2017",213
"314","01Aug2017","Euglenozoa",0,2017-08-01,1,8,"2017",213
"315","01Aug2017","Euryarchaeota",0,2017-08-01,1,8,"2017",213
"316","01Aug2017","FCPU426",0,2017-08-01,1,8,"2017",213
"317","01Aug2017","Fermentibacterota",0,2017-08-01,1,8,"2017",213
"318","01Aug2017","Fibrobacterota",0,2017-08-01,1,8,"2017",213
"319","01Aug2017","Firestonebacteria",0,2017-08-01,1,8,"2017",213
"320","01Aug2017","Firmicutes",0.472883727613219,2017-08-01,1,8,"2017",213
"321","01Aug2017","Fusobacteriota",0,2017-08-01,1,8,"2017",213
"322","01Aug2017","Gemmatimonadota",0.0550535749227003,2017-08-01,1,8,"2017",213
"323","01Aug2017","Halobacterota",0,2017-08-01,1,8,"2017",213
"324","01Aug2017","Hydrogenedentes",0.0337998006809952,2017-08-01,1,8,"2017",213
"325","01Aug2017","Iainarchaeota",0,2017-08-01,1,8,"2017",213
"326","01Aug2017","Latescibacterota",0.0119063133331443,2017-08-01,1,8,"2017",213
"327","01Aug2017","LCP-89",0,2017-08-01,1,8,"2017",213
"328","01Aug2017","Margulisbacteria",0.0185644293429487,2017-08-01,1,8,"2017",213
"329","01Aug2017","Marinimicrobia_",0,2017-08-01,1,8,"2017",213
"330","01Aug2017","Methylomirabilota",0,2017-08-01,1,8,"2017",213
"331","01Aug2017","Micrarchaeota",0,2017-08-01,1,8,"2017",213
"332","01Aug2017","Myxococcota",0.467322048369165,2017-08-01,1,8,"2017",213
"333","01Aug2017","Nanoarchaeota",0.0159403306812788,2017-08-01,1,8,"2017",213
"334","01Aug2017","NB1-j",0.00729782911595031,2017-08-01,1,8,"2017",213
"335","01Aug2017","Nitrospinota",0,2017-08-01,1,8,"2017",213
"336","01Aug2017","Nitrospirota",0.00332905800490221,2017-08-01,1,8,"2017",213
"337","01Aug2017","NKB15",0,2017-08-01,1,8,"2017",213
"338","01Aug2017","Patescibacteria",0.0337998006809952,2017-08-01,1,8,"2017",213
"339","01Aug2017","PAUC34f",0,2017-08-01,1,8,"2017",213
"340","01Aug2017","Planctomycetota",5.91540459382856,2017-08-01,1,8,"2017",213
"341","01Aug2017","Proteobacteria",21.4090077889983,2017-08-01,1,8,"2017",213
"342","01Aug2017","Rotifera",0,2017-08-01,1,8,"2017",213
"343","01Aug2017","SAR324_clade",0.276168572667993,2017-08-01,1,8,"2017",213
"344","01Aug2017","Spirochaetota",0.0404579166907996,2017-08-01,1,8,"2017",213
"345","01Aug2017","Sumerlaeota",0,2017-08-01,1,8,"2017",213
"346","01Aug2017","Sva0485",0,2017-08-01,1,8,"2017",213
"347","01Aug2017","Synergistota",0,2017-08-01,1,8,"2017",213
"348","01Aug2017","TA06",0,2017-08-01,1,8,"2017",213
"349","01Aug2017","Thermoplasmatota",0,2017-08-01,1,8,"2017",213
"350","01Aug2017","Thermotogota",0,2017-08-01,1,8,"2017",213
