"sampledate","year","daynum","stratFlag","thermocline","layer","temp","o2","tp","doc"
2008-08-04,2008,217,TRUE,10.8019317797412,"epi",24.4638698328936,6.19781882145998,63.490765171504,5.54903693931398
2008-08-04,2008,217,TRUE,10.8019317797412,"hypo",15.3639188668069,0.1,348.999452841815,5.16233589854444
2008-08-18,2008,231,TRUE,11.86450500055,"all",21.0473036126964,5.06578825357978,NA,NA
2008-08-18,2008,231,TRUE,11.86450500055,"epi",23.8645108606892,7.28335783112853,36.3303935979095,NA
2008-08-18,2008,231,TRUE,11.86450500055,"hypo",15.0075139614131,0.311557341025474,NA,NA
2008-09-05,2008,249,TRUE,12.9303142359478,"all",20.1570046705064,4.67804014700718,168.885829933429,NA
2008-09-05,2008,249,TRUE,12.9303142359478,"epi",22.3085412521047,6.30281647022807,52.1775218123374,NA
2008-09-05,2008,249,TRUE,12.9303142359478,"hypo",14.4105314016669,0.338474745662238,480.598481535713,NA
2008-09-29,2008,273,TRUE,14.1375088464143,"all",18.7613294169757,5.5375978730837,242.853192305901,5.65498732121284
2008-09-29,2008,273,TRUE,14.1375088464143,"epi",19.9413276525563,6.81032160527763,168.365654205607,5.48488478101521
2008-09-29,2008,273,TRUE,14.1375088464143,"hypo",13.7198929027251,0.1,561.094510904714,6.38173515138833
2008-10-29,2008,303,FALSE,NA,"all",12.1165158338176,9.08655866618691,149.140720269184,4.79822675481091
2009-01-21,2009,21,FALSE,NA,"all",1.03481983304951,14.8548525492257,143.695593235337,5.49723993932958
2009-04-15,2009,105,FALSE,NA,"all",4.92162797289863,12.9395613329067,159.326035074347,4.88129578715862
2009-04-27,2009,117,FALSE,NA,"all",7.55376956522401,13.535199834765,200.353561962612,NA
2009-05-11,2009,131,TRUE,13.3028637977646,"all",10.97877920127,11.5730353655221,128.323578719419,4.50826749445738
2009-05-11,2009,131,TRUE,13.3028637977646,"epi",11.3654135338346,11.6596153846154,125.641989589358,4.49015037593985
2009-05-11,2009,131,TRUE,13.3028637977646,"hypo",9.68263904897984,11.2827873723124,137.313249451354,4.56900272352669
2009-05-28,2009,148,TRUE,17.0080143519287,"all",14.2973754410808,10.3729404812251,NA,NA
2009-05-28,2009,148,TRUE,17.0080143519287,"epi",14.5294124802335,10.5963751368447,147,NA
2009-05-28,2009,148,TRUE,17.0080143519287,"hypo",11.780850119797,7.94971110986136,NA,NA
2009-06-09,2009,160,TRUE,12.6904018751079,"all",15.3735187177148,7.80548879922919,120.966441706296,4.68581724937222
2009-06-09,2009,160,TRUE,12.6904018751079,"epi",16.4446655441604,8.69530078065207,111.877774376244,4.73747283024644
2009-06-09,2009,160,TRUE,12.6904018751079,"hypo",12.5126254111276,5.42891718558686,145.241085376412,4.54785193787398
2009-06-23,2009,174,TRUE,7.53859734699182,"all",17.7455270238239,7.29828111163388,NA,NA
2009-06-23,2009,174,TRUE,7.53859734699182,"epi",21.3915125651968,9.57667140825036,116.230085348506,NA
2009-06-23,2009,174,TRUE,7.53859734699182,"hypo",14.515385783961,5.27975350802927,NA,NA
2009-07-06,2009,187,TRUE,9.43094810056262,"all",17.9743491005414,7.60275665640878,153.941197076007,4.89185622681747
2009-07-06,2009,187,TRUE,9.43094810056262,"epi",21.0586239938674,11.3837677270985,108.722834419318,5.0237969528555
2009-07-06,2009,187,TRUE,9.43094810056262,"hypo",13.695258206006,2.35702123907084,216.676682920263,4.70880303638056
2009-07-20,2009,201,TRUE,11.0060259735574,"all",18.139247273911,6.49073307074796,NA,NA
2009-07-20,2009,201,TRUE,11.0060259735574,"epi",20.2490445859873,9.181234688878,80.9559039686428,NA
2009-07-20,2009,201,TRUE,11.0060259735574,"hypo",13.6160685191843,0.722586676292836,NA,NA
2009-08-05,2009,217,TRUE,11.3385140803763,"all",19.7322939547214,6.11495709455481,152.652851552455,4.99877215997823
2009-08-05,2009,217,TRUE,11.3385140803763,"epi",22.2333496651968,8.6385758615058,67.1318389678262,5.05053813490119
2009-08-05,2009,217,TRUE,11.3385140803763,"hypo",14.3702992316941,0.704589602679917,336.000713923574,4.88779147162062
2009-08-19,2009,231,TRUE,10.8863222232976,"all",20.0829803323558,5.34669819751677,NA,NA
2009-08-19,2009,231,TRUE,10.8863222232976,"epi",23.0609322779244,8.25938434476693,47.2883025505717,NA
2009-08-19,2009,231,TRUE,10.8863222232976,"hypo",14.9434678637151,0.319825015998157,NA,NA
2009-09-02,2009,245,TRUE,13.1375423710367,"all",18.7876244913004,5.71481231249603,138.633603186799,4.82739403062628
2009-09-02,2009,245,TRUE,13.1375423710367,"epi",20.2786871023713,7.3281954887218,68.0307981492192,4.82277743637941
2009-09-02,2009,245,TRUE,13.1375423710367,"hypo",13.789035496452,0.306159899594574,375.320112288393,4.84287054853017
2009-09-30,2009,273,TRUE,14.9722586052199,"all",17.2619791519141,4.77634731170701,245.253450982683,7.32521292527679
2009-09-30,2009,273,TRUE,14.9722586052199,"epi",18.0543842770753,5.73893622869709,182.494158878505,7.14135433846436
2009-09-30,2009,273,TRUE,14.9722586052199,"hypo",13.8764994015132,0.663772590831421,513.386891594854,8.11073222951423
2009-10-28,2009,301,FALSE,NA,"all",11.4841189795591,7.96201166704386,165.18932103803,5.39797488985209
2009-12-03,2009,337,FALSE,NA,"all",8.5,9.94487260240524,149.450605968636,5.27789432473465
2010-02-01,2010,32,FALSE,NA,"all",2.08190581865494,10.8281650005548,123.020983391863,5.15291737314642
2010-03-29,2010,88,FALSE,NA,"all",4.39995500644832,14.495932751788,124.436742539204,NA
2010-04-13,2010,103,FALSE,NA,"all",6.64409055848421,13.63202844089,70.44811404858,6.27901808864332
2010-04-26,2010,116,FALSE,NA,"all",9.37825932059207,12.8692278223784,68.3240910470453,NA
2010-05-10,2010,130,FALSE,NA,"all",11.8651955341064,10.0750291238632,61.1503159622657,4.6758679117831
2010-05-24,2010,144,TRUE,6.0501408793747,"all",14.0217787714269,8.08717365969468,NA,NA
2010-05-24,2010,144,TRUE,6.0501408793747,"epi",16.0410249457701,8.84574295010846,68.0801247288503,NA
2010-05-24,2010,144,TRUE,6.0501408793747,"hypo",12.6143034821534,7.55842805897243,NA,NA
2010-06-07,2010,158,TRUE,7.39444813813285,"all",15.914412936283,7.15540427157463,91.1593936366768,5.23573228466551
2010-06-07,2010,158,TRUE,7.39444813813285,"epi",19.4919630156472,9.74623044096728,50.6863442389758,5.60114805595069
2010-06-07,2010,158,TRUE,7.39444813813285,"hypo",12.7449017251448,4.86007579039801,127.016273615772,4.91199415155155
2010-06-21,2010,172,TRUE,8.6643734536422,"all",17.6486563185611,6.18803834414896,NA,NA
2010-06-21,2010,172,TRUE,8.6643734536422,"epi",21.3849407783418,8.76818950930626,34.7860617597293,NA
2010-06-21,2010,172,TRUE,8.6643734536422,"hypo",13.4931470602188,3.31838476981615,NA,NA
2010-07-05,2010,186,TRUE,9.29314029531215,"all",19.0635100569589,4.75655495216244,107.23453861472,4.01249974251366
2010-07-05,2010,186,TRUE,9.29314029531215,"epi",23.3831353008816,7.99495975469528,38.7302127251821,2.87250922288233
2010-07-05,2010,186,TRUE,9.29314029531215,"hypo",13.0705069400602,0.263625825344257,202.276727553368,5.59411072763269
2010-07-19,2010,200,TRUE,9.55453397037602,"all",20.5381028316432,4.18364142655172,NA,NA
2010-07-19,2010,200,TRUE,9.55453397037602,"epi",25.2212150249138,7.19911843618245,42.0307589114603,NA
2010-07-19,2010,200,TRUE,9.55453397037602,"hypo",14.0408017033698,0,NA,NA
2010-08-03,2010,215,TRUE,10.0726134565653,"all",20.8514552915034,3.53011799008145,112.885135146581,4.50072069036568
2010-08-03,2010,215,TRUE,10.0726134565653,"epi",24.9757783641161,5.57554969217238,31.7061565523307,4.54425813544415
2010-08-03,2010,215,TRUE,10.0726134565653,"hypo",13.7334727841163,0,252.988259811684,4.42558138458656
2010-08-16,2010,228,TRUE,12.2139792297448,"all",21.4667569618586,4.40575943065698,NA,NA
2010-08-16,2010,228,TRUE,12.2139792297448,"epi",24.4731057707026,6.05502831777132,33.1548293280269,NA
2010-08-16,2010,228,TRUE,12.2139792297448,"hypo",13.4371918526308,0.000777589311524801,NA,NA
2010-08-30,2010,242,TRUE,11.8065950962305,"all",20.6376014407336,4.33968317727289,126.401027682755,4.7503469294203
2010-08-30,2010,242,TRUE,11.8065950962305,"epi",24.0036256736894,6.36385758615058,36.4250367466928,4.77006246937776
2010-08-30,2010,242,TRUE,11.8065950962305,"hypo",13.4212071400803,7.07274461338767e-05,319.299884984348,4.70807893004278
2010-10-05,2010,278,TRUE,17.1049508168266,"all",16.5072406613497,5.60423075748159,243.809481576842,4.53458708940536
2010-10-05,2010,278,TRUE,17.1049508168266,"epi",16.8509548716701,6.12097068483153,212.338044337672,4.54203219397478
2010-10-05,2010,278,TRUE,17.1049508168266,"hypo",12.7795361676412,0,585.128561490839,4.4538422469571
2010-11-09,2010,313,FALSE,NA,"all",10.8199571893369,10.2888929987781,105.505390053152,NA
2011-01-19,2011,19,FALSE,NA,"all",1.91771373526032,10.3505173284507,91.4334483122139,NA
2011-04-18,2011,108,FALSE,NA,"all",6.02210708966247,13.4581798460836,67.2120938579178,4.05751451701579
2011-05-02,2011,122,FALSE,NA,"all",7.84919200564114,11.806569537106,76.6343186646586,NA
2011-05-17,2011,137,TRUE,12.7576995945744,"all",10.4407919811302,9.5286617050955,69.7784151269052,4.21375424047809
2011-05-17,2011,137,TRUE,12.7576995945744,"epi",10.6326649318843,9.8048982090923,68.2339851523037,4.19355655900811
2011-05-17,2011,137,TRUE,12.7576995945744,"hypo",9.92832438380849,8.79087007297925,73.9033859224511,4.2676996103372
2011-05-31,2011,151,TRUE,13.4559752182555,"all",13.6993676413455,7.29517698512218,NA,NA
2011-05-31,2011,151,TRUE,13.4559752182555,"epi",14.443030653557,7.78632157316368,73.1462550607287,NA
2011-05-31,2011,151,TRUE,13.4559752182555,"hypo",11.2063363486846,5.64868010803909,NA,NA
2011-06-13,2011,164,TRUE,11.4192863320963,"all",16.3029390796578,8.28288700535569,89.0257866371005,4.32924350305406
2011-06-13,2011,164,TRUE,11.4192863320963,"epi",18.0458925363384,9.65087375469541,69.9961620120856,4.33532663726931
2011-06-13,2011,164,TRUE,11.4192863320963,"hypo",12.5662341361973,5.35007039499048,129.823257238476,4.31620191688504
2011-06-27,2011,178,TRUE,11.2636655441658,"all",17.4792482993459,6.78977261058531,NA,NA
2011-06-27,2011,178,TRUE,11.2636655441658,"epi",19.7485546300833,8.83578311285318,NA,NA
2011-06-27,2011,178,TRUE,11.2636655441658,"hypo",12.6140993466926,2.40334592265932,NA,NA
2011-07-11,2011,192,TRUE,9.53613118243088,"all",20.0877516799024,6.04756577616217,106.247904257088,7.69291920379164
2011-07-11,2011,192,TRUE,9.53613118243088,"epi",24.318263702568,9.36301264852434,36.8173629743197,7.43343522422384
2011-07-11,2011,192,TRUE,9.53613118243088,"hypo",14.2183833189358,1.44774928330014,202.575114794856,8.052924577064
2011-07-25,2011,206,TRUE,9.01456167180464,"all",20.5690627809817,4.67113360318958,NA,NA
2011-07-25,2011,206,TRUE,9.01456167180464,"epi",25.6334994250671,7.96590647757762,22,NA
2011-07-25,2011,206,TRUE,9.01456167180464,"hypo",13.5427160774011,0.1,NA,NA
2011-08-04,2011,216,TRUE,8.78519183399613,"all",20.9397713889041,3.08403389566348,102.709933350421,NA
2011-08-04,2011,216,TRUE,8.78519183399613,"epi",26.4603637901861,5.76702622673435,14.3925549915398,NA
2011-08-04,2011,216,TRUE,8.78519183399613,"hypo",14.7997483039359,0.1,200.936844977057,NA
2011-08-22,2011,234,TRUE,10.651147688324,"all",20.3110836249514,4.90404365354353,NA,NA
2011-08-22,2011,234,TRUE,10.651147688324,"epi",24.1884784520668,7.62423922603342,19.2883025505717,NA
2011-08-22,2011,234,TRUE,10.651147688324,"hypo",13.6192633994914,0.209381242097441,NA,NA
2011-09-12,2011,255,TRUE,11.9466042446011,"all",19.3073883430568,7.0211228028461,135.106820627537,NA
2011-09-12,2011,255,TRUE,11.9466042446011,"epi",22.0675975828842,10.249420218847,24.2244406336763,NA
2011-09-12,2011,255,TRUE,11.9466042446011,"hypo",13.3897962972591,0.1,372.826729829717,NA
2011-10-03,2011,276,TRUE,16.7546913604732,"all",15.4156400179704,6.85291959117244,246.086902764541,NA
2011-10-03,2011,276,TRUE,16.7546913604732,"epi",15.6822112960161,7.72972768532526,208.118475794251,NA
2011-10-03,2011,276,TRUE,16.7546913604732,"hypo",13.3961529043968,0.21040858923811,533.727602660194,NA
2011-10-31,2011,304,FALSE,NA,"all",12.1997881729852,10.898173297418,116.496386566681,NA
2012-02-22,2012,53,FALSE,NA,"all",2.89720526259793,16.0995331334595,61.0173699585449,4.35074354164569
2012-03-21,2012,81,FALSE,NA,"all",6.89375032107485,13.9296789634389,73.4367425392044,NA
